Previous_Sem_Mark,Attendance,Arrears_Count,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Media_Usage,Stress_Level,Internet_Access,Hostel_or_DayScholar,Travel_Time_Minutes,Part_Time_Job,Next_Sem_Mark,Result
73,67,9,7.2,5.7,Low,Medium,Unlimited,Hosteller,14,No,36,Pass
31,82,5,9.6,3.8,High,High,Limited,DayScholar,51,Yes,15,Fail
90,86,6,5.4,5.8,Low,High,Unlimited,Hosteller,6,Yes,48,Pass
39,87,2,6.8,8.8,Medium,Medium,Unlimited,DayScholar,20,Yes,33,Fail
86,75,1,9.8,4.0,Medium,High,Limited,Hosteller,117,Yes,61,Pass
42,79,0,7.8,7.2,Medium,Medium,Unlimited,DayScholar,51,No,33,Fail
42,80,0,6.5,7.9,Low,Low,Limited,DayScholar,70,No,42,Pass
90,94,3,9.3,7.4,Low,High,Unlimited,Hosteller,14,Yes,66,Pass
84,96,5,2.5,7.4,Low,High,Unlimited,DayScholar,48,No,49,Pass
73,78,3,6.3,6.6,Low,Medium,Limited,Hosteller,69,No,54,Pass
45,87,0,4.8,4.5,High,Low,Unlimited,Hosteller,12,Yes,27,Fail
72,92,3,7.8,6.2,Medium,Medium,Unlimited,Hosteller,55,No,58,Pass
99,57,9,4.9,4.9,Low,Low,Limited,DayScholar,53,Yes,42,Pass
39,61,7,7.7,7.7,Medium,Low,Limited,Hosteller,32,Yes,18,Fail
80,90,3,5.4,5.7,Low,High,Limited,DayScholar,116,Yes,43,Pass
73,92,3,0.8,6.8,High,Low,Limited,DayScholar,74,Yes,40,Pass
36,74,1,5.6,7.5,Medium,Low,Limited,Hosteller,2,No,27,Fail
80,94,6,8.1,6.5,Medium,Medium,Limited,DayScholar,72,No,52,Pass
100,79,6,7.1,3.6,Low,Low,Limited,Hosteller,95,No,69,Pass
83,93,2,5.9,3.9,High,High,Limited,Hosteller,108,No,36,Pass
92,84,4,0.9,8.8,Low,High,Unlimited,Hosteller,37,Yes,48,Pass
59,76,4,7.7,5.9,Medium,Medium,Limited,Hosteller,23,Yes,46,Pass
35,81,3,3.9,8.1,Medium,Low,Limited,Hosteller,86,Yes,19,Fail
86,62,2,6.0,4.3,High,Medium,Unlimited,Hosteller,29,No,40,Pass
41,75,8,8.4,7.5,Medium,Medium,Unlimited,DayScholar,119,Yes,27,Fail
32,77,4,5.9,5.2,Low,High,Unlimited,Hosteller,110,No,20,Fail
80,83,0,5.8,3.8,High,High,Limited,Hosteller,115,No,43,Pass
39,95,2,9.0,9.7,Medium,Low,Limited,DayScholar,70,No,30,Fail
97,77,2,9.7,4.4,Low,High,Limited,Hosteller,92,No,77,Pass
92,52,2,2.5,6.9,Low,Low,Limited,Hosteller,4,Yes,49,Pass
68,87,6,6.1,5.5,Medium,Low,Limited,DayScholar,105,No,46,Pass
88,79,5,2.3,6.1,High,Medium,Unlimited,Hosteller,49,No,36,Pass
44,72,0,2.6,6.8,Low,Medium,Unlimited,Hosteller,41,No,23,Fail
36,63,1,3.3,7.7,High,Low,Limited,DayScholar,52,No,11,Fail
33,91,2,7.6,8.3,High,High,Unlimited,DayScholar,37,No,21,Fail
97,79,1,9.4,5.9,Low,High,Limited,Hosteller,80,Yes,66,Pass
80,74,3,6.2,8.0,Medium,High,Unlimited,Hosteller,91,No,43,Pass
100,92,4,4.3,8.9,Low,High,Unlimited,Hosteller,64,Yes,54,Pass
32,89,0,5.6,6.3,Medium,Medium,Unlimited,Hosteller,23,Yes,27,Fail
41,98,2,2.2,4.2,Low,Low,Unlimited,Hosteller,8,No,26,Fail
34,96,4,7.6,5.3,Medium,Medium,Unlimited,DayScholar,11,No,29,Fail
92,71,2,6.0,3.8,Low,Medium,Unlimited,DayScholar,117,No,56,Pass
82,79,5,3.5,5.8,Medium,High,Limited,DayScholar,16,No,44,Pass
68,86,2,8.7,8.0,Low,Low,Unlimited,Hosteller,17,Yes,51,Pass
62,65,5,6.5,4.2,Medium,Medium,Limited,DayScholar,19,No,41,Pass
78,52,4,8.9,8.0,Low,Low,Limited,DayScholar,41,No,55,Pass
76,99,0,2.3,5.0,High,Low,Limited,Hosteller,17,Yes,47,Pass
95,72,3,4.3,3.5,Low,Low,Limited,Hosteller,98,Yes,37,Pass
91,71,6,8.5,4.8,High,High,Unlimited,Hosteller,23,No,41,Pass
44,77,6,9.3,4.5,Medium,High,Unlimited,DayScholar,77,No,23,Fail
31,86,3,8.8,7.3,Medium,High,Limited,Hosteller,51,No,16,Fail
70,66,2,9.9,5.3,Low,High,Unlimited,Hosteller,70,No,48,Pass
56,53,1,7.2,3.7,Medium,Low,Unlimited,DayScholar,23,No,42,Pass
96,87,0,5.9,9.6,High,Medium,Unlimited,DayScholar,37,No,57,Pass
64,61,0,5.6,8.6,Low,High,Limited,DayScholar,108,No,41,Pass
72,97,1,3.9,8.2,Medium,Medium,Unlimited,DayScholar,64,Yes,40,Pass
81,84,6,8.8,7.3,Medium,High,Limited,DayScholar,18,No,52,Pass
54,64,3,8.9,7.5,Low,Low,Limited,DayScholar,6,No,39,Pass
77,85,5,9.4,5.8,Medium,Medium,Unlimited,DayScholar,94,No,61,Pass
70,98,4,1.7,6.4,Medium,Low,Unlimited,Hosteller,68,Yes,35,Pass
98,63,2,2.4,4.4,High,Low,Limited,DayScholar,115,Yes,46,Pass
80,94,6,6.7,4.2,Medium,High,Unlimited,Hosteller,29,Yes,46,Pass
98,60,2,1.2,7.1,Low,Medium,Limited,DayScholar,77,No,49,Pass
81,71,1,4.5,9.5,High,High,Unlimited,DayScholar,18,No,35,Pass
74,98,6,4.1,5.6,High,Low,Limited,Hosteller,18,Yes,37,Pass
94,79,2,6.9,6.7,High,Low,Unlimited,Hosteller,107,Yes,50,Pass
85,59,0,3.7,4.1,Low,Medium,Limited,DayScholar,8,No,50,Pass
90,84,9,5.0,3.9,High,High,Unlimited,DayScholar,30,No,44,Pass
95,92,6,7.6,7.7,Medium,High,Unlimited,DayScholar,96,Yes,54,Pass
32,54,2,4.9,8.7,Low,Medium,Unlimited,DayScholar,101,No,10,Fail
43,82,2,10.0,9.0,Medium,Medium,Unlimited,DayScholar,16,Yes,37,Pass
64,89,1,7.9,5.0,High,Medium,Limited,DayScholar,14,Yes,48,Pass
32,77,9,9.7,8.9,Medium,Medium,Limited,Hosteller,27,Yes,23,Fail
83,72,5,5.1,4.0,Low,Low,Limited,Hosteller,46,Yes,49,Pass
69,66,4,10.0,9.3,Low,High,Unlimited,Hosteller,100,No,40,Pass
98,51,2,2.3,6.5,Low,Medium,Unlimited,Hosteller,66,No,48,Pass
88,66,1,2.8,8.6,Medium,High,Unlimited,Hosteller,61,Yes,38,Pass
92,99,3,5.1,5.6,Low,Medium,Limited,Hosteller,86,Yes,64,Pass
98,80,9,3.6,5.3,Low,High,Unlimited,Hosteller,41,Yes,46,Pass
90,61,8,9.5,3.1,Low,Low,Limited,Hosteller,41,Yes,56,Pass
99,66,3,4.0,6.8,Medium,Medium,Unlimited,DayScholar,67,No,54,Pass
98,83,8,8.9,4.6,Low,Medium,Limited,Hosteller,84,No,68,Pass
43,92,6,8.7,3.4,Medium,High,Unlimited,DayScholar,65,No,24,Fail
61,78,4,9.4,5.5,High,Low,Unlimited,Hosteller,23,No,38,Pass
33,76,9,4.9,9.8,Medium,Low,Limited,DayScholar,44,Yes,8,Fail
34,67,9,5.2,7.3,Medium,Low,Limited,DayScholar,87,No,10,Fail
95,92,2,2.2,8.2,Low,Medium,Unlimited,DayScholar,81,No,69,Pass
43,86,7,5.6,9.5,Low,Low,Limited,DayScholar,4,No,28,Fail
52,84,7,6.2,7.8,Low,Medium,Unlimited,Hosteller,108,Yes,29,Fail
37,51,7,5.1,5.8,Low,Low,Limited,DayScholar,5,Yes,14,Fail
30,79,8,8.2,6.7,Low,Medium,Limited,DayScholar,86,No,18,Fail
35,88,6,4.1,6.6,Medium,Medium,Unlimited,Hosteller,10,No,23,Fail
50,77,2,8.4,6.6,High,High,Limited,DayScholar,52,No,33,Fail
74,95,7,8.7,6.9,Medium,Low,Unlimited,Hosteller,33,Yes,42,Pass
97,80,10,2.1,7.2,Low,Medium,Unlimited,DayScholar,119,No,53,Pass
91,95,3,3.6,6.7,High,High,Limited,Hosteller,38,Yes,39,Pass
81,77,7,3.5,8.5,High,Low,Limited,DayScholar,31,Yes,38,Pass
80,78,8,5.9,6.0,Medium,Medium,Unlimited,Hosteller,75,Yes,36,Pass
90,61,1,0.1,3.2,Medium,Low,Unlimited,DayScholar,91,No,40,Pass
80,94,0,5.8,7.8,High,High,Limited,DayScholar,51,Yes,38,Pass
31,99,8,6.0,8.3,Medium,Low,Unlimited,Hosteller,18,No,26,Fail
82,91,2,7.9,6.3,Medium,High,Unlimited,Hosteller,99,No,59,Pass
80,81,0,8.0,8.2,Low,High,Unlimited,DayScholar,35,Yes,59,Pass
85,93,2,2.7,5.6,Low,Medium,Limited,Hosteller,120,Yes,48,Pass
92,99,8,1.4,8.4,Low,High,Unlimited,Hosteller,28,Yes,47,Pass
81,59,1,6.7,8.8,High,Low,Limited,Hosteller,34,No,50,Pass
74,97,4,5.7,4.0,Low,Medium,Unlimited,Hosteller,43,Yes,45,Pass
73,86,5,6.8,5.9,High,High,Unlimited,DayScholar,96,No,38,Pass
90,92,6,4.9,5.9,High,Low,Unlimited,Hosteller,83,No,40,Pass
65,52,4,5.0,9.0,Medium,Medium,Unlimited,DayScholar,20,No,36,Pass
33,60,4,8.0,7.3,Low,Medium,Unlimited,Hosteller,5,Yes,23,Fail
79,84,10,9.1,3.8,Medium,Medium,Limited,Hosteller,42,No,53,Pass
83,93,6,2.2,8.4,Medium,Low,Unlimited,Hosteller,23,No,56,Pass
85,69,1,3.0,3.4,Low,Medium,Limited,Hosteller,5,No,39,Pass
94,69,0,7.3,5.4,Medium,Low,Limited,Hosteller,22,No,75,Pass
32,64,6,6.8,7.7,High,Medium,Limited,Hosteller,94,No,7,Fail
61,92,4,6.2,9.3,High,Low,Unlimited,DayScholar,74,No,38,Pass
68,73,6,7.8,5.5,Low,Medium,Unlimited,DayScholar,61,Yes,37,Pass
30,94,10,6.2,8.5,Medium,Medium,Unlimited,DayScholar,97,Yes,10,Fail
42,94,5,3.2,6.1,Low,Medium,Unlimited,Hosteller,4,Yes,20,Fail
46,57,4,9.7,6.9,Low,Medium,Unlimited,Hosteller,6,No,29,Fail
46,54,2,5.9,4.9,Low,Low,Limited,Hosteller,77,No,24,Fail
54,89,9,7.0,4.0,Medium,Low,Unlimited,Hosteller,45,No,30,Fail
90,77,8,9.2,8.0,Low,Low,Limited,DayScholar,94,No,69,Pass
89,60,10,7.2,7.0,Medium,Low,Unlimited,Hosteller,69,No,44,Pass
93,95,0,3.8,7.5,Low,Medium,Unlimited,Hosteller,54,Yes,69,Pass
71,76,3,6.5,4.2,Low,High,Unlimited,Hosteller,119,Yes,48,Pass
93,81,5,5.5,6.0,High,High,Unlimited,DayScholar,30,Yes,39,Pass
94,74,1,5.1,3.5,Medium,Medium,Unlimited,Hosteller,4,No,53,Pass
47,84,0,7.9,8.0,Low,Medium,Unlimited,DayScholar,95,Yes,42,Pass
89,55,6,3.7,5.0,High,Medium,Unlimited,Hosteller,12,No,41,Pass
32,95,2,6.0,5.3,High,Low,Unlimited,DayScholar,8,Yes,9,Fail
46,98,6,3.5,8.7,Medium,Low,Unlimited,Hosteller,39,No,24,Fail
61,85,10,8.7,4.1,Low,Medium,Limited,DayScholar,24,Yes,36,Pass
44,58,0,6.0,10.0,Medium,Low,Limited,Hosteller,8,No,29,Fail
85,86,5,9.4,4.2,High,Low,Unlimited,Hosteller,87,No,48,Pass
88,77,3,0.6,7.7,Medium,Medium,Unlimited,DayScholar,74,No,55,Pass
96,89,9,6.5,4.3,Medium,Medium,Unlimited,DayScholar,88,Yes,59,Pass
72,50,3,9.5,5.9,High,Low,Limited,DayScholar,90,Yes,35,Pass
58,82,8,9.6,7.6,High,Low,Limited,Hosteller,69,No,33,Fail
43,77,1,2.1,7.4,Low,Medium,Limited,Hosteller,43,Yes,24,Fail
68,96,9,4.5,8.0,Medium,Low,Unlimited,DayScholar,108,No,36,Pass
61,81,0,2.9,6.3,Medium,Low,Limited,Hosteller,88,No,44,Pass
95,95,2,0.4,8.4,High,High,Unlimited,DayScholar,38,No,41,Pass
89,88,6,8.0,9.5,Medium,High,Unlimited,DayScholar,1,No,51,Pass
45,97,6,2.8,7.7,High,Medium,Limited,Hosteller,12,Yes,21,Fail
92,77,1,9.3,5.5,Medium,Medium,Limited,DayScholar,102,No,66,Pass
99,90,9,5.7,5.9,Medium,Low,Unlimited,Hosteller,15,Yes,63,Pass
41,81,3,3.5,3.2,Medium,Medium,Unlimited,Hosteller,1,Yes,23,Fail
90,66,6,6.3,3.7,Medium,High,Unlimited,Hosteller,6,No,36,Pass
50,60,5,7.7,4.5,Medium,High,Limited,DayScholar,72,No,26,Fail
86,74,5,5.2,7.5,Medium,Low,Limited,Hosteller,22,No,47,Pass
49,63,2,6.9,9.4,Low,Low,Unlimited,DayScholar,50,No,38,Pass
85,80,4,4.8,7.7,Low,Medium,Limited,DayScholar,78,Yes,59,Pass
39,55,2,5.5,3.4,Medium,Medium,Unlimited,DayScholar,25,Yes,17,Fail
87,53,0,2.9,8.4,Low,High,Unlimited,Hosteller,108,Yes,38,Pass
55,86,5,6.5,4.2,Low,Low,Unlimited,Hosteller,48,No,38,Pass
33,75,7,9.7,3.1,Medium,High,Unlimited,DayScholar,47,Yes,9,Fail
91,85,3,5.2,8.5,High,Low,Limited,DayScholar,89,Yes,56,Pass
92,64,0,2.5,3.8,Medium,Low,Limited,Hosteller,55,No,54,Pass
87,78,7,8.8,7.2,High,High,Unlimited,DayScholar,5,Yes,46,Pass
46,83,1,7.9,9.2,Low,Medium,Limited,Hosteller,111,Yes,27,Fail
79,62,4,9.8,5.2,Medium,Low,Limited,Hosteller,76,No,51,Pass
53,92,1,8.8,5.4,Low,High,Unlimited,DayScholar,58,Yes,39,Pass
34,85,7,8.0,8.8,Medium,Medium,Unlimited,DayScholar,118,No,13,Fail
88,87,8,8.4,4.5,High,Low,Unlimited,DayScholar,24,No,55,Pass
53,79,6,0.2,5.1,Low,Low,Unlimited,Hosteller,59,No,34,Fail
35,74,1,6.9,8.1,Medium,Medium,Limited,DayScholar,103,No,10,Fail
63,88,0,2.9,5.3,High,Low,Limited,Hosteller,27,No,36,Pass
93,58,7,1.4,7.5,Medium,Low,Limited,DayScholar,99,Yes,39,Pass
51,100,6,6.3,5.1,Low,High,Limited,DayScholar,45,Yes,26,Fail
92,96,6,4.6,3.3,Medium,Medium,Limited,DayScholar,18,Yes,55,Pass
70,75,4,2.5,8.8,Medium,Medium,Unlimited,DayScholar,15,No,38,Pass
67,84,4,3.7,6.4,Low,Medium,Unlimited,DayScholar,113,Yes,44,Pass
88,100,4,6.7,6.2,Medium,Medium,Unlimited,DayScholar,8,Yes,64,Pass
64,81,7,4.7,6.3,Low,Medium,Unlimited,Hosteller,90,Yes,36,Pass
41,97,2,9.1,8.7,Low,Medium,Limited,Hosteller,0,Yes,31,Fail
40,91,5,1.2,7.1,High,Medium,Unlimited,DayScholar,9,No,17,Fail
68,97,6,9.3,5.8,High,High,Limited,DayScholar,77,No,42,Pass
100,59,2,5.9,8.1,Low,Low,Limited,DayScholar,71,No,68,Pass
90,90,6,5.3,9.8,Low,High,Unlimited,DayScholar,79,Yes,51,Pass
71,56,8,8.6,8.8,Low,Medium,Unlimited,Hosteller,113,No,40,Pass
92,70,3,1.0,5.4,High,Low,Unlimited,Hosteller,29,Yes,41,Pass
99,85,7,6.0,8.8,Low,Medium,Unlimited,Hosteller,25,Yes,60,Pass
33,77,2,1.7,9.7,Low,Medium,Unlimited,DayScholar,74,Yes,16,Fail
52,72,1,7.9,4.0,Low,Medium,Unlimited,DayScholar,44,Yes,32,Fail
69,57,2,7.2,4.5,Low,Low,Limited,DayScholar,9,No,47,Pass
91,92,6,8.9,7.1,Low,High,Unlimited,DayScholar,81,Yes,49,Pass
81,67,5,8.1,7.4,Low,Medium,Unlimited,DayScholar,72,Yes,38,Pass
88,58,7,5.0,8.3,Medium,Medium,Limited,DayScholar,15,No,47,Pass
73,70,3,7.6,9.0,Low,Medium,Limited,Hosteller,112,No,36,Pass
92,80,6,7.7,5.2,High,Low,Unlimited,Hosteller,48,No,53,Pass
81,89,0,2.5,7.0,High,Medium,Limited,Hosteller,115,Yes,46,Pass
36,82,5,8.6,8.3,Medium,Medium,Unlimited,Hosteller,44,No,21,Fail
89,71,7,5.2,3.1,High,Low,Limited,Hosteller,34,No,36,Pass
100,86,6,3.0,4.8,Low,Low,Limited,DayScholar,95,No,62,Pass
84,85,9,8.0,4.4,Medium,Low,Unlimited,DayScholar,87,No,56,Pass
92,55,6,2.2,4.4,Low,High,Unlimited,Hosteller,4,Yes,38,Pass
68,96,3,5.7,5.6,Medium,Low,Limited,Hosteller,8,No,59,Pass
87,85,4,5.0,3.2,Medium,Medium,Unlimited,Hosteller,70,Yes,42,Pass
64,84,0,5.0,7.6,Medium,Low,Limited,DayScholar,51,No,51,Pass
88,87,5,7.1,5.8,High,High,Limited,Hosteller,27,Yes,46,Pass
74,77,8,7.7,3.7,Low,Low,Unlimited,Hosteller,92,Yes,48,Pass
30,89,9,5.0,3.9,Medium,Low,Limited,Hosteller,33,No,5,Fail
82,92,3,8.0,4.7,High,High,Limited,DayScholar,73,No,42,Pass
51,87,0,8.2,4.5,Low,Medium,Limited,DayScholar,78,No,44,Pass
74,78,3,5.7,3.3,Low,High,Limited,DayScholar,30,No,47,Pass
62,93,6,7.4,6.4,Medium,Low,Unlimited,DayScholar,51,No,51,Pass
56,53,4,9.2,4.1,Medium,High,Unlimited,DayScholar,54,No,33,Fail
75,59,8,8.7,8.3,Medium,Low,Unlimited,DayScholar,110,Yes,38,Pass
44,74,8,9.7,8.1,Low,Medium,Unlimited,Hosteller,20,Yes,24,Fail
65,97,2,5.5,6.5,High,Medium,Limited,Hosteller,24,Yes,39,Pass
83,94,1,1.8,3.2,Medium,High,Limited,DayScholar,17,Yes,42,Pass
95,64,10,3.1,8.7,High,Low,Limited,Hosteller,26,No,41,Pass
75,92,6,7.7,7.7,Low,Low,Unlimited,Hosteller,45,No,53,Pass
33,77,6,1.9,6.9,Medium,Low,Unlimited,Hosteller,31,No,14,Fail
76,78,4,0.8,9.0,High,Medium,Limited,Hosteller,6,No,45,Pass
60,89,10,7.1,8.8,Low,Medium,Unlimited,DayScholar,98,No,35,Pass
81,61,1,2.4,5.1,Low,Low,Limited,DayScholar,117,No,53,Pass
65,100,4,1.1,6.3,Medium,Medium,Unlimited,DayScholar,4,No,36,Pass
62,79,8,7.2,8.9,Low,Low,Unlimited,DayScholar,14,Yes,47,Pass
89,70,2,6.0,8.7,Low,High,Unlimited,DayScholar,14,No,49,Pass
88,60,9,9.4,6.4,Low,High,Limited,Hosteller,71,No,39,Pass
55,88,7,6.7,9.8,Low,Low,Limited,Hosteller,9,No,39,Pass
85,62,2,0.0,6.0,Low,Low,Unlimited,Hosteller,47,No,40,Pass
78,51,5,5.1,4.6,Medium,Medium,Unlimited,Hosteller,107,Yes,37,Pass
84,87,2,6.9,5.3,Low,Medium,Unlimited,DayScholar,96,Yes,62,Pass
77,73,1,7.8,5.7,High,High,Limited,Hosteller,6,No,42,Pass
72,52,1,1.3,4.7,Low,Low,Unlimited,Hosteller,52,No,35,Pass
89,91,9,6.2,3.6,Medium,Low,Unlimited,Hosteller,99,Yes,42,Pass
61,89,4,1.7,7.3,Low,High,Unlimited,Hosteller,106,No,35,Pass
68,93,2,5.4,7.5,Medium,Low,Limited,Hosteller,22,Yes,39,Pass
92,57,5,5.2,7.7,Medium,High,Limited,Hosteller,64,No,36,Pass
71,92,4,9.6,7.0,Medium,Low,Limited,DayScholar,69,Yes,55,Pass
46,66,0,6.8,8.4,Medium,Low,Unlimited,DayScholar,13,Yes,28,Fail
92,70,7,4.1,3.6,High,Medium,Limited,DayScholar,25,No,39,Pass
53,94,10,9.6,8.1,High,Low,Limited,DayScholar,42,No,33,Fail
93,57,7,5.1,4.2,High,High,Unlimited,DayScholar,74,Yes,35,Pass
79,57,4,3.8,3.2,High,Medium,Limited,DayScholar,86,No,35,Pass
93,75,3,1.1,8.4,High,Medium,Limited,DayScholar,81,No,54,Pass
33,67,0,7.8,6.4,Medium,Low,Limited,Hosteller,64,No,21,Fail
40,85,0,4.1,4.0,Low,Medium,Limited,DayScholar,74,No,24,Fail
83,52,4,7.7,3.3,Low,Medium,Limited,Hosteller,17,Yes,38,Pass
97,59,8,7.7,3.7,High,Medium,Limited,Hosteller,76,No,46,Pass
79,85,10,6.7,3.9,Low,Low,Limited,DayScholar,22,No,57,Pass
93,99,8,1.6,7.1,Medium,High,Limited,DayScholar,9,No,46,Pass
87,81,0,1.7,6.9,High,High,Unlimited,DayScholar,39,No,42,Pass
75,92,8,7.5,5.6,Low,Medium,Limited,DayScholar,12,No,54,Pass
30,86,2,4.6,4.5,Low,High,Limited,DayScholar,23,No,16,Fail
95,67,7,8.1,5.6,Low,Low,Limited,Hosteller,81,No,54,Pass
86,94,3,6.1,5.1,Medium,Medium,Unlimited,Hosteller,113,Yes,54,Pass
57,88,2,9.2,8.5,High,High,Unlimited,Hosteller,73,Yes,32,Fail
100,92,2,4.3,6.8,Medium,Medium,Limited,DayScholar,75,Yes,57,Pass
99,52,5,3.1,4.3,Low,Medium,Unlimited,DayScholar,76,Yes,47,Pass
32,62,8,3.3,7.5,Low,Medium,Limited,DayScholar,5,No,15,Fail
80,75,0,6.4,5.0,Low,High,Limited,DayScholar,71,No,64,Pass
64,93,8,8.7,5.6,Low,High,Unlimited,DayScholar,64,No,45,Pass
91,64,1,1.8,7.2,High,Medium,Limited,Hosteller,10,No,49,Pass
92,74,4,6.1,4.9,Low,Medium,Limited,Hosteller,27,No,55,Pass
71,85,3,1.2,7.6,Low,Medium,Limited,Hosteller,22,No,53,Pass
99,74,6,0.6,5.4,Medium,Medium,Unlimited,Hosteller,119,No,39,Pass
79,80,1,7.7,8.0,High,Low,Unlimited,DayScholar,110,No,56,Pass
84,61,0,9.1,6.6,Medium,Medium,Unlimited,Hosteller,117,No,59,Pass
79,78,7,4.7,8.1,Low,Medium,Limited,DayScholar,33,Yes,39,Pass
82,79,9,6.4,8.0,Low,Low,Unlimited,Hosteller,120,No,43,Pass
48,100,3,6.9,8.7,Medium,Low,Limited,DayScholar,114,No,29,Fail
39,62,5,9.8,10.0,High,Low,Unlimited,DayScholar,55,No,21,Fail
