sem1,sem2,sem3,sem4,sem5,attendance,arrears_count,study_hours,sleep_hours,social_media,stress_level,internet_access,residence,travel_time,part_time_job,final_percentage
43,88,52,92,87,85,3,7.045632202435035,5.613373527170253,2,2,0,1,108,0,75.4
96,14,89,93,18,99,3,6.400385502391286,7.500078323718473,1,1,0,1,94,0,66.0
61,51,33,52,62,80,3,7.552195603081152,5.478917691288486,0,0,0,0,30,0,54.8
76,88,67,87,88,95,4,1.234229922941901,7.662149336204937,0,0,0,0,78,0,76.2
98,29,40,56,68,76,0,6.471592148510426,7.888063388526493,0,2,1,0,68,1,61.2
18,10,97,91,46,98,3,4.528131624907516,7.651729939939546,1,0,0,1,57,0,53.4
99,70,96,80,46,51,0,1.6029919643204726,4.467489042644523,1,0,0,0,109,1,82.2
72,28,89,84,62,98,2,3.8175804443326005,8.801895439098393,0,0,0,0,55,0,71.0
90,46,98,79,21,79,3,6.33783764239356,6.030270674281551,2,0,1,1,101,1,63.8
43,59,93,86,97,59,1,2.41576773138629,6.469469270645649,1,1,1,1,116,0,78.6
50,88,47,63,24,96,4,7.425287502647355,6.128596048653974,0,2,0,0,105,1,56.4
64,78,95,26,79,82,3,1.2665272468500501,7.730748194241118,0,0,0,1,93,0,65.4
91,39,71,89,31,62,2,7.19263002519838,6.662325678118686,1,2,1,1,28,0,64.2
20,99,48,83,57,51,0,4.504615720972323,6.985914796846405,2,2,0,0,14,1,58.4
63,69,18,13,56,63,2,2.8153260707748395,5.02071584246465,1,0,1,1,85,0,42.8
30,61,74,71,41,56,1,6.78414756917618,5.985666727202187,0,2,0,0,21,0,50.4
82,25,54,35,93,69,4,4.859343495423598,5.108627282611824,2,0,0,1,108,1,53.8
46,15,77,34,21,50,4,5.580176922498718,7.007095047432295,0,1,1,1,56,0,35.6
32,44,50,66,60,76,3,4.081098965193957,8.733639109805171,0,1,0,1,90,0,51.4
58,32,46,49,54,80,1,1.9667431563883129,7.9096701118015975,2,1,1,0,47,1,51.8
88,36,21,54,83,62,1,4.151763499613338,5.9595028936016,2,2,0,0,6,0,53.4
30,28,17,70,43,66,4,7.0789875521616334,6.070797325986781,1,0,0,1,5,1,32.6
72,94,97,73,76,58,2,4.23896813951362,4.171282824405976,1,1,1,1,96,0,86.4
70,74,90,93,76,59,1,3.3934354226110015,4.7536031635979015,1,1,0,1,40,0,75.6
70,83,50,40,42,71,2,7.576225930480168,6.962728468032757,0,0,1,1,33,0,57.0
38,20,36,22,23,59,1,3.708192947032791,5.280053493098802,2,0,0,0,108,0,27.8
44,53,82,19,83,82,2,2.656538297364258,6.632344185840042,2,1,1,0,100,0,59.2
81,63,34,54,86,92,1,2.4502833195227565,6.309267144122872,2,1,1,0,57,1,65.6
43,76,38,55,55,79,2,2.4068403586157583,4.080623998556832,1,2,0,1,14,1,49.4
85,88,60,15,13,92,3,7.009247853784942,6.705083987997954,1,2,1,1,26,0,51.2
43,90,36,57,84,67,2,3.9462545108421754,8.671971727535855,2,0,1,0,118,1,61.0
95,83,50,87,86,89,2,5.712767661279564,4.141846924016461,0,1,0,1,70,1,83.2
85,35,37,45,18,83,1,2.863771016436371,5.546802609484014,1,2,1,0,73,1,46.0
27,98,67,43,42,91,2,3.511561327180894,8.75181234438943,0,2,0,0,114,0,58.4
34,44,58,45,28,63,0,2.5095196168278053,4.539532744251417,1,1,0,1,106,0,41.8
54,56,74,88,76,62,2,6.09368070094234,6.010728432784447,0,2,0,0,33,1,69.6
67,57,49,18,46,59,1,2.4129783534292,7.952217410823522,0,2,0,0,25,0,44.4
49,63,81,30,16,92,0,6.7785838014085,5.559875295802299,0,2,0,1,71,0,44.8
94,43,99,94,98,53,3,6.060761260007722,6.777195630427256,2,1,1,1,89,1,81.6
97,88,81,58,31,95,4,3.2771306446626753,8.852688961091076,1,0,1,0,35,1,72.0
64,66,52,85,76,92,3,7.674841599428777,8.361819588181564,0,1,1,0,90,1,69.6
62,32,87,69,82,64,4,2.032198227267017,6.6812974504041645,1,1,1,0,27,1,68.4
78,68,33,95,17,65,2,6.600690134238948,6.592303013901308,2,0,0,1,25,0,54.2
64,45,36,69,78,69,0,2.9956057309859263,8.750858972411239,0,1,0,1,85,1,59.4
47,33,49,70,68,79,1,4.233224745259123,5.018596417221961,2,2,1,1,86,1,53.4
25,80,82,36,58,50,0,7.846926240764749,6.6165238076446435,1,2,1,0,72,0,52.2
26,44,73,28,18,58,3,1.9706540278749836,6.623267496281931,0,0,1,1,63,1,34.8
29,14,96,97,36,94,3,7.430223458920996,6.243482993939453,1,0,0,1,78,1,52.4
29,40,81,96,70,63,1,6.7154990864507695,6.420841697896813,1,0,1,0,42,0,61.2
66,94,15,66,85,52,2,2.39370111214437,6.2381553140761365,1,0,1,1,81,1,67.2
49,83,37,10,22,62,3,5.648148137441857,6.609987822511988,1,0,1,0,94,0,36.2
81,23,53,99,48,72,4,5.839931534957941,5.1369353509371045,1,0,0,0,25,0,63.8
94,11,15,96,80,97,2,1.1698003077692312,8.378914121843994,2,1,1,0,43,1,56.2
90,59,45,81,12,97,3,2.9116135224548354,4.8080106889710645,1,0,1,0,77,1,55.4
36,91,69,83,61,60,1,7.399149262354135,6.89061448732329,0,2,0,0,32,0,69.0
66,40,94,90,97,58,4,6.96633626730932,4.636053616254479,0,0,1,0,101,0,77.4
91,60,42,84,95,90,4,3.4539797233581675,8.919736808614187,0,0,1,1,97,0,78.4
85,77,85,42,73,88,0,3.732414659112747,6.381244447263163,0,1,0,1,67,0,68.4
33,25,15,69,97,77,2,5.934535596193695,8.790671032617276,0,2,0,1,6,0,48.8
49,29,34,77,34,69,4,7.579303404146102,4.174096562590134,2,2,1,1,14,0,44.6
18,89,93,38,39,70,3,5.877613584837201,5.288691791489693,1,0,1,0,28,1,57.4
79,12,25,53,75,89,1,3.284193221285826,7.7911024339195745,1,2,0,0,21,1,52.8
50,96,93,42,79,50,2,1.9542886923278675,4.760645106986182,0,2,0,1,90,0,75.0
56,20,75,13,35,99,1,1.1902965173601445,5.731877060363031,1,1,0,1,110,0,41.8
59,85,89,17,72,76,0,1.0447669597989009,6.6722042240926145,0,0,1,0,15,0,59.400000000000006
29,85,22,32,10,83,0,5.383453382800189,8.29573393251679,0,2,0,0,12,0,32.6
47,93,59,53,65,97,1,4.442445086612329,5.0392098183536405,1,1,0,1,11,1,63.4
30,95,38,44,86,71,1,6.927426156569442,4.879767908750319,0,0,0,0,33,0,55.6
94,65,43,30,96,67,3,1.1620835978811557,4.324378214679431,1,0,0,0,74,0,61.599999999999994
11,18,57,53,48,83,0,7.449797315566556,6.8934507932140425,2,1,0,0,108,0,37.4
13,38,95,85,82,83,0,4.311275319647889,7.292576335361824,0,0,1,1,8,1,59.6
52,10,32,98,28,87,4,2.1863463865272745,4.667819495906302,0,1,0,0,37,0,47.0
81,44,72,74,11,90,4,2.650832437433751,4.434922585543033,1,2,0,0,72,0,57.4
77,19,90,83,94,57,1,7.3324078924512355,4.2591828314257425,1,1,0,1,57,1,74.6
51,84,24,80,71,92,2,4.301758025263782,8.50441266246135,0,1,0,0,73,0,57.0
83,96,13,45,39,59,3,3.5589707803436403,6.0649855469581135,0,0,0,1,58,0,59.2
68,38,44,52,77,80,0,2.493521074365407,7.9785527989489875,1,0,0,0,75,0,54.8
99,81,23,65,53,85,4,3.2307317083733813,7.5206156270171185,1,0,0,1,10,1,68.2
30,59,66,26,97,88,1,4.628472780306094,8.80988822382838,1,2,1,1,49,1,50.6
15,52,21,31,38,82,4,1.199238623434098,4.7416272950899225,0,1,0,0,99,0,32.4
87,67,18,93,21,72,2,2.9046401955667536,5.212149933504891,1,1,0,1,108,0,54.2
51,10,49,99,43,88,1,4.477889422917351,8.138852769471217,0,0,0,0,60,1,50.4
22,87,87,88,13,81,1,1.6759007377445103,4.566178193500221,2,2,0,1,80,0,62.4
77,52,20,83,82,63,4,2.3740749221933632,5.487167806287724,2,0,1,0,116,0,62.8
39,91,95,91,54,62,3,7.958931937367311,5.256268004393894,1,1,1,1,34,1,73.0
72,39,62,81,95,68,3,6.627275382624492,6.924911762949485,2,1,1,1,102,0,66.8
31,71,64,83,72,53,0,5.011870344732657,8.128299106054463,0,1,1,0,77,0,62.2
25,80,45,70,85,57,3,6.881867672260704,5.307921384875854,0,2,0,1,118,0,60.0
63,14,17,38,85,94,0,6.642332886953893,5.963539890758668,2,2,0,1,108,1,43.4
39,46,64,60,72,51,0,7.093791728615873,5.887936637690422,1,0,0,1,75,1,57.2
93,80,22,45,29,83,4,7.428739543642384,8.80584367987881,0,0,0,1,12,1,56.8
80,74,77,52,97,51,0,1.3931683944893454,7.371901337960432,1,0,0,0,26,1,71.0
62,62,25,18,23,85,0,6.566448781048891,4.682767703381278,0,1,0,0,38,0,37.0
88,23,83,34,98,56,0,1.3304412546300246,6.979382993323544,0,2,1,0,119,1,64.2
97,88,89,89,53,61,0,5.565517246112046,4.782844034699462,1,1,0,1,18,1,87.2
88,35,91,65,99,87,4,3.949212100399202,5.8921751214686555,2,0,0,1,16,1,75.6
15,13,47,74,98,93,2,4.4567436522231745,4.541839410178767,0,0,1,1,88,0,53.4
46,55,51,55,84,60,1,4.017411744394153,6.354632783965696,2,2,1,1,110,0,53.2
23,31,43,42,14,95,1,6.872837755933901,6.363499715623462,1,2,1,1,27,0,32.6
34,22,44,17,18,89,2,6.147415196091419,5.623146124333947,0,1,0,0,64,0,30.0
15,79,72,56,31,89,2,2.413824919121301,8.327164227972524,2,2,1,0,69,0,46.6
95,22,84,22,60,76,4,1.3635262842374298,5.499630500860219,2,2,0,0,80,0,52.6
63,13,86,97,35,80,2,2.354832160963377,7.947398963098973,0,0,0,1,111,1,55.8
51,82,55,90,49,84,3,1.856710716523393,6.301321476371732,0,2,1,1,26,0,60.400000000000006
23,55,64,70,64,68,3,3.5071761613573296,4.257995609957613,0,1,0,1,96,1,54.2
60,19,57,11,62,51,0,7.755541442392433,5.372538137811386,0,1,1,1,35,0,44.8
46,12,92,17,84,50,4,7.3408142138451895,7.09569463711019,1,1,0,0,43,1,47.2
61,90,68,68,77,59,3,1.3633883338629058,7.93114346152308,2,1,1,0,112,1,76.8
55,53,20,12,24,96,2,1.0915173588553817,7.075091995291814,1,0,0,1,119,0,30.799999999999997
11,89,91,45,20,67,3,3.641193095715882,4.133285071824974,2,0,1,1,7,1,54.2
73,37,73,37,57,68,4,4.422731837691053,6.827665591129756,2,2,1,1,79,1,59.4
32,53,64,84,70,79,4,7.6735563970795635,5.392420171734148,0,2,0,0,5,1,58.6
81,93,76,78,21,54,4,7.485402162727375,8.258638938587259,2,0,0,0,48,1,67.8
76,46,93,93,70,73,4,2.5987571222419814,6.280897940530767,1,1,0,1,40,1,73.6
27,74,38,95,64,95,4,5.766102690419041,8.219433018888846,0,1,1,1,92,1,56.6
74,61,56,79,90,98,1,2.8840953827477818,4.443412171361785,1,0,1,1,107,1,71.0
51,30,29,37,73,87,3,4.20492047397642,5.648551455632267,1,2,1,0,59,0,46.0
57,83,47,42,91,57,3,4.883744374871416,5.839944492047597,0,1,0,0,58,1,60.0
40,97,85,74,48,80,4,1.8553307789897793,5.471800859983139,0,2,1,1,41,1,67.8
31,15,28,42,80,52,1,5.554144682875757,7.759319315322378,2,2,1,0,26,0,42.2
25,48,44,20,93,95,3,5.294539005055567,8.363154805571803,2,2,0,1,79,0,43.0
17,32,45,68,81,59,0,5.3325055264013335,5.708083386993845,1,0,0,1,103,0,43.6
52,42,93,63,18,82,1,3.393662031165373,6.018006689998254,0,0,0,1,24,0,54.6
72,70,42,74,67,70,0,6.947153692414419,8.250252363066949,0,0,0,1,32,0,65.0
69,27,36,61,83,84,4,6.3549475410408265,8.275300443365257,1,2,1,0,53,0,54.2
97,83,12,18,27,60,1,3.0121142733279958,5.313907374208202,0,0,1,0,47,0,48.4
33,97,21,32,74,96,3,4.716843725101397,7.774679581657654,1,0,0,1,82,0,47.4
89,46,64,87,44,52,4,7.251102661994425,5.61689295290258,0,1,1,0,7,0,65.0
74,24,12,14,86,83,4,6.581540184579555,8.754919691310178,0,0,0,0,24,1,46.0
71,31,32,93,69,60,1,5.642896418452028,4.0272831751177645,0,0,0,0,73,1,61.2
98,83,19,32,59,67,2,1.5078091096764794,7.973507324504426,0,1,0,0,47,1,54.2
24,46,12,86,13,88,1,7.346218680461276,7.400052160348263,2,1,1,1,46,1,36.2
86,23,30,83,40,77,4,1.418945933099614,6.423206523529654,1,0,0,1,65,1,54.4
25,79,54,95,20,94,0,1.7167378260329802,7.131727693091486,1,0,0,1,92,0,53.6
34,39,92,41,12,75,3,1.5509051083384402,5.773191003228403,2,0,0,1,66,0,47.6
98,92,98,81,94,50,1,7.673168058548892,4.364307660079643,1,0,0,1,40,1,89.6
40,87,11,91,35,67,2,4.25011234441935,7.653720093444116,2,2,0,0,75,1,50.8
75,95,55,94,89,80,0,5.585682962683461,7.17372729064761,1,2,1,0,28,1,82.6
99,67,60,20,55,66,4,5.715213699750231,6.726106944057109,2,0,0,0,54,1,61.2
91,94,51,94,44,58,2,7.922026942776261,4.781635403422633,0,0,1,1,37,0,70.8
61,79,50,45,22,66,1,6.703784482209361,5.630883131755451,1,2,1,1,102,0,46.4
19,73,28,19,36,55,2,3.6179866857794414,6.74392627992146,2,2,0,0,51,0,39.0
63,99,92,54,16,85,1,3.7473949846871286,4.81773949030742,0,0,1,1,71,1,66.8
51,20,63,33,89,56,2,6.3347709966096195,7.969935340773203,0,0,0,0,82,1,48.2
42,18,91,13,65,53,3,5.2671581636294,5.167899230262612,0,0,0,0,112,1,49.8
87,88,19,56,12,83,2,3.201611251206991,6.48778782915187,2,1,1,0,110,0,49.4
89,95,11,48,75,54,0,4.0748440412377755,4.657818328159497,1,1,0,1,21,1,60.6
29,78,51,23,10,66,4,1.7538341624783211,5.188737659142,1,2,1,0,23,1,42.2
60,81,58,16,73,89,3,2.0949281682212884,8.399297561771082,0,2,1,0,66,1,52.6
56,37,11,46,25,52,0,3.1034888394806486,5.835480551235644,2,1,0,0,83,0,35.0
83,29,50,81,52,64,2,5.374938574846422,5.55382540463223,1,0,1,0,110,0,63.0
88,79,79,29,66,99,1,6.944605827551129,4.615725415055353,0,2,0,1,30,1,66.2
71,93,94,97,95,66,0,2.6337315417961182,4.2221355788516215,2,1,1,0,103,1,85.0
69,34,59,65,31,77,4,6.915401814234052,7.013256284732996,2,0,0,1,91,1,49.6
31,15,52,25,20,83,0,1.8718044193577832,4.0146320855688895,1,2,1,1,89,1,26.6
42,58,70,94,42,97,3,5.375466360341182,7.482175569080783,0,1,1,0,103,1,56.2
76,32,35,93,34,65,1,4.528394518274629,8.835406320659915,0,2,1,0,56,1,49.0
84,26,66,21,68,67,1,3.986260381103115,6.242012672088331,2,2,0,1,16,0,50.0
53,32,15,93,92,70,4,3.8218378895203906,6.685590881691251,0,2,0,0,9,0,60.0
56,97,96,18,14,55,3,6.372376290864655,4.861661813766659,0,2,1,0,103,0,58.2
56,48,32,69,60,93,3,6.759720688250394,4.339805368861407,1,1,0,0,16,0,50.0
69,90,35,24,83,97,3,2.9889156704548436,4.281476013987769,0,1,0,1,50,1,55.2
61,14,16,76,68,67,1,6.685665186695039,6.2629096162256666,2,0,1,1,29,1,45.0
74,19,21,62,56,74,2,2.3432162827101815,6.046453869578808,2,0,1,0,106,0,50.4
62,14,28,93,26,68,4,6.602885767272918,7.226032161237682,2,1,0,0,13,1,46.6
97,82,98,15,96,99,0,7.9803843443840226,5.175544657429805,1,0,1,1,55,0,73.6
96,91,45,53,46,85,2,6.399880389969425,6.0927623659418035,2,1,1,1,104,0,66.2
73,26,80,70,24,98,4,7.621526162988725,5.57519806046574,0,0,1,0,62,0,51.6
77,85,81,24,52,96,1,1.8272584829460718,8.527454584032581,2,0,1,1,70,1,64.8
13,55,48,51,21,96,1,1.1422185930122803,8.777564638408048,1,0,1,1,80,1,38.6
30,81,68,95,89,67,3,7.230749388737475,7.241968088904363,2,1,0,1,59,0,71.6
57,38,14,46,64,89,0,2.5813588737090774,4.867057440759053,2,0,0,0,117,1,46.8
22,88,78,82,29,88,0,6.977410799727922,8.817786457105035,0,2,0,0,54,1,55.8
99,10,40,21,47,50,0,6.390800481384716,4.989167899021558,2,0,0,1,100,0,46.4
17,55,31,76,73,64,4,3.126883403240259,8.305438259312908,2,0,0,1,61,0,54.4
46,24,94,39,75,74,3,1.5523099535678713,5.391778828779742,0,2,0,0,80,0,54.6
31,58,43,50,88,75,4,7.753586586102302,6.428528600741618,1,0,0,1,7,1,53.0
76,20,84,92,83,63,2,3.831553288429361,8.481256413158514,1,2,0,1,8,0,70.0
80,19,15,21,38,68,2,1.8481357250840922,8.44713914970373,0,0,1,1,26,0,30.6
63,22,23,97,42,85,0,6.941425400553543,6.135518904366134,0,1,1,1,110,1,47.4
52,84,16,74,83,69,3,5.845351621653191,6.919246697682711,2,1,1,0,114,0,60.8
31,81,40,33,23,83,4,6.21613488505393,6.44767466439807,1,0,1,0,95,1,38.6
53,87,17,66,53,53,1,1.1200456635134382,6.223738650377662,2,2,1,1,55,1,53.2
89,17,44,80,11,91,4,6.464921852830624,8.790687681335491,1,2,0,1,113,0,49.2
77,54,39,71,25,70,3,5.384276781538791,8.954156239605823,0,2,0,0,38,0,53.2
69,79,37,63,53,56,0,2.6024938303102254,6.278215660810475,1,2,0,1,14,0,58.2
90,85,17,66,49,60,2,6.428228040269531,5.398304152481881,0,0,0,1,56,1,58.4
95,78,17,90,62,70,0,5.007431545214903,8.619264576545689,2,0,0,0,81,1,71.4
62,68,64,27,88,71,1,5.898310942834849,6.9591361849679,2,0,1,1,114,1,65.8
72,73,44,93,50,60,4,5.331252684686659,5.672723256107673,2,2,0,0,26,0,66.4
69,89,30,89,61,88,1,6.859912424686161,7.451294945342624,2,1,0,0,47,0,69.6
10,60,79,30,84,60,3,2.046142466173488,7.937405443716688,2,2,0,1,42,1,50.6
14,33,90,65,59,57,3,4.798174394979874,6.6803250667773835,1,0,1,0,80,0,50.2
61,95,60,59,20,85,1,4.099244252765661,5.9273473569152255,1,0,1,1,41,1,56.0
59,21,62,23,87,50,3,7.143859143756842,4.01520715252323,2,1,0,0,55,0,45.4
52,97,25,67,21,91,2,5.327899156274486,7.7985666446344215,2,0,0,1,38,0,50.4
24,16,81,57,60,91,0,6.145754716339614,7.8295638625967765,2,1,0,1,15,0,50.6
32,33,66,17,29,59,1,7.924309822655756,6.412372343308481,0,0,0,0,7,0,33.4
45,25,13,20,32,78,3,6.992303373191262,6.77316069595749,2,1,0,1,29,1,26.0
79,37,26,29,55,79,4,7.570784959374571,4.56103940189513,2,1,0,1,47,0,45.2
95,88,32,34,40,95,0,6.434622862907714,7.831283880419779,1,0,1,0,62,1,58.8
57,67,85,84,32,83,4,1.3845542135088598,6.267184523345129,2,0,0,1,74,0,69.0
26,33,96,38,70,62,4,1.737307071438452,6.036612911665018,0,0,1,0,10,0,47.6
